	Fixation Count (Include Zeros)_Barracuda_Bot_Sum	Fixation Count (Include Zeros)_Barracuda_MidBot_Sum	Fixation Count (Include Zeros)_Barracuda_MidTop_Sum	Fixation Count (Include Zeros)_Barracuda_TopBot_Sum	Fixation Count (Include Zeros)_Barracuda_TopTop_Sum	Fixation Count (Include Zeros)_Cliffs Of Dover_Bot 2_Sum	Fixation Count (Include Zeros)_Cliffs Of Dover_MidBot_Sum	Fixation Count (Include Zeros)_Cliffs Of Dover_MidTop_Sum	Fixation Count (Include Zeros)_Cliffs Of Dover_TopBot_Sum	Fixation Count (Include Zeros)_Cliffs Of Dover_TopTop_Sum	Fixation Count (Include Zeros)_Cult Of Personality_Bot 2_Sum	Fixation Count (Include Zeros)_Cult Of Personality_MidBot_Sum	Fixation Count (Include Zeros)_Cult Of Personality_MidTop_Sum	Fixation Count (Include Zeros)_Cult Of Personality_TopBot_Sum	Fixation Count (Include Zeros)_Cult Of Personality_TopTop_Sum	Fixation Count (Include Zeros)_My Name Is Jonas_Bot 2_Sum	Fixation Count (Include Zeros)_My Name Is Jonas_MidBot_Sum	Fixation Count (Include Zeros)_My Name Is Jonas_MidTop_Sum	Fixation Count (Include Zeros)_My Name Is Jonas_TopBot_Sum	Fixation Count (Include Zeros)_My Name Is Jonas_TopTop_Sum	Fixation Count (Include Zeros)_Paint It Black_Bot 4_Sum	Fixation Count (Include Zeros)_Paint It Black_MidBot_Sum	Fixation Count (Include Zeros)_Paint It Black_MidTop_Sum	Fixation Count (Include Zeros)_Paint It Black_TopBot_Sum	Fixation Count (Include Zeros)_Paint It Black_TopTop_Sum	Fixation Count (Include Zeros)_Rock and Roll All Nite_Bot_Sum	Fixation Count (Include Zeros)_Rock and Roll All Nite_MidBot_Sum	Fixation Count (Include Zeros)_Rock and Roll All Nite_MidTop_Sum	Fixation Count (Include Zeros)_Rock and Roll All Nite_TopBot_Sum	Fixation Count (Include Zeros)_Rock and Roll All Nite_TopTop_Sum	Fixation Count (Include Zeros)_Rock You Like A Hurricane_Bot 2_Sum	Fixation Count (Include Zeros)_Rock You Like A Hurricane_MidBot_Sum	Fixation Count (Include Zeros)_Rock You Like A Hurricane_MidTop_Sum	Fixation Count (Include Zeros)_Rock You Like A Hurricane_TopBot_Sum	Fixation Count (Include Zeros)_Rock You Like A Hurricane_TopTop_Sum	Fixation Count (Include Zeros)_The Metal_Bot 2_Sum	Fixation Count (Include Zeros)_The Metal_MidBot_Sum	Fixation Count (Include Zeros)_The Metal_MidTop_Sum	Fixation Count (Include Zeros)_The Metal_TopBot_Sum	Fixation Count (Include Zeros)_The Metal_TopTop_Sum
Rec 01-Songs	2,00	1,00	12,00	41,00	74,00	1,00	0,00	20,00	54,00	15,00	4,00	15,00	41,00	69,00	43,00	1,00	1,00	5,00	39,00	108,00	4,00	3,00	12,00	50,00	81,00	3,00	5,00	18,00	45,00	61,00	3,00	7,00	21,00	57,00	64,00	1,00	2,00	9,00	64,00	75,00
Rec 02-Songs	5,00	9,00	38,00	54,00	40,00	0,00	3,00	28,00	31,00	17,00	0,00	20,00	39,00	58,00	51,00	1,00	1,00	28,00	70,00	91,00	1,00	5,00	38,00	45,00	72,00	1,00	6,00	31,00	44,00	44,00	2,00	9,00	59,00	59,00	38,00	1,00	6,00	39,00	68,00	40,00
Rec 03-Songs	5,00	6,00	22,00	64,00	76,00	1,00	7,00	28,00	40,00	13,00	14,00	6,00	35,00	76,00	37,00	2,00	0,00	2,00	71,00	56,00	4,00	3,00	20,00	83,00	35,00	5,00	4,00	16,00	60,00	43,00	1,00	3,00	23,00	83,00	33,00	1,00	4,00	23,00	84,00	41,00
Rec 04-Songs	1,00	6,00	11,00	37,00	63,00	2,00	2,00	12,00	34,00	35,00	3,00	6,00	10,00	61,00	73,00	0,00	2,00	1,00	11,00	111,00	2,00	1,00	5,00	17,00	85,00	2,00	0,00	10,00	25,00	63,00	2,00	8,00	10,00	52,00	76,00	0,00	1,00	4,00	30,00	88,00
Rec 05-Songs	26,00	50,00	39,00	35,00	21,00	13,00	10,00	12,00	7,00	8,00	14,00	32,00	51,00	33,00	18,00	1,00	12,00	49,00	85,00	18,00	9,00	25,00	42,00	70,00	24,00	7,00	24,00	38,00	27,00	21,00	26,00	41,00	39,00	14,00	15,00	16,00	22,00	53,00	65,00	13,00
Rec 06-Songs	1,00	5,00	3,00	27,00	43,00	0,00	4,00	19,00	27,00	13,00	0,00	21,00	52,00	56,00	20,00	0,00	3,00	13,00	56,00	68,00	0,00	7,00	20,00	43,00	69,00	0,00	12,00	11,00	27,00	34,00	1,00	6,00	18,00	55,00	39,00	0,00	3,00	19,00	60,00	56,00
Rec 07-Songs	0,00	4,00	5,00	4,00	0,00	7,00	20,00	26,00	9,00	6,00	25,00	27,00	26,00	20,00	10,00	9,00	10,00	15,00	3,00	0,00	12,00	19,00	51,00	43,00	15,00	20,00	15,00	51,00	14,00	8,00	9,00	23,00	16,00	17,00	8,00	8,00	24,00	64,00	19,00	1,00
Rec 08-Songs	0,00	3,00	7,00	42,00	113,00	2,00	3,00	20,00	42,00	31,00	1,00	2,00	9,00	75,00	89,00	3,00	1,00	7,00	77,00	86,00	0,00	1,00	4,00	43,00	80,00	1,00	6,00	17,00	55,00	57,00	0,00	3,00	8,00	65,00	56,00	0,00	2,00	11,00	102,00	48,00
Rec 09-Songs	3,00	15,00	32,00	47,00	52,00	0,00	4,00	6,00	11,00	26,00	3,00	12,00	26,00	40,00	33,00	2,00	6,00	20,00	60,00	58,00	2,00	4,00	17,00	30,00	57,00	2,00	6,00	17,00	36,00	43,00	4,00	21,00	31,00	44,00	34,00	2,00	6,00	11,00	38,00	68,00
Rec 10-Songs	2,00	18,00	19,00	56,00	57,00	3,00	12,00	22,00	14,00	5,00	4,00	25,00	54,00	44,00	37,00	11,00	40,00	65,00	31,00	11,00	1,00	16,00	55,00	41,00	26,00	2,00	17,00	46,00	41,00	20,00	1,00	26,00	73,00	23,00	24,00	1,00	23,00	72,00	37,00	8,00
Rec 11-Songs	24,00	9,00	17,00	30,00	40,00	18,00	25,00	16,00	11,00	13,00	8,00	14,00	36,00	42,00	31,00	15,00	26,00	34,00	24,00	20,00	19,00	17,00	29,00	43,00	42,00	6,00	9,00	12,00	35,00	32,00	24,00	23,00	44,00	36,00	16,00	3,00	20,00	26,00	45,00	41,00
Rec 12-Songs	5,00	10,00	35,00	54,00	53,00	8,00	13,00	42,00	32,00	11,00	10,00	18,00	61,00	65,00	40,00	3,00	5,00	54,00	118,00	23,00	0,00	2,00	6,00	27,00	34,00	5,00	8,00	24,00	46,00	38,00	10,00	15,00	63,00	59,00	21,00	2,00	6,00	43,00	86,00	30,00
Rec 13-Songs	3,00	12,00	34,00	49,00	52,00	0,00	2,00	18,00	34,00	27,00	1,00	5,00	16,00	60,00	67,00	0,00	1,00	0,00	33,00	116,00	0,00	2,00	6,00	32,00	86,00	0,00	4,00	15,00	33,00	44,00	0,00	0,00	20,00	74,00	35,00	2,00	8,00	29,00	83,00	30,00
Rec 14-Songs	3,00	5,00	10,00	33,00	66,00	0,00	6,00	21,00	31,00	17,00	0,00	4,00	20,00	59,00	49,00	4,00	12,00	27,00	65,00	55,00	0,00	5,00	20,00	45,00	65,00	0,00	10,00	10,00	47,00	40,00	0,00	20,00	45,00	43,00	33,00	1,00	9,00	22,00	62,00	54,00
Rec 15-Songs	28,00	30,00	50,00	25,00	35,00	23,00	11,00	3,00	3,00	3,00	55,00	17,00	23,00	22,00	23,00	59,00	18,00	12,00	9,00	18,00	36,00	33,00	24,00	12,00	14,00	24,00	23,00	24,00	18,00	17,00	28,00	24,00	25,00	24,00	17,00	43,00	49,00	23,00	10,00	11,00
Rec 16-Songs	0,00	1,00	0,00	1,00	67,00	0,00	0,00	0,00	7,00	48,00	0,00	0,00	1,00	2,00	99,00	1,00	3,00	1,00	6,00	142,00	0,00	0,00	0,00	6,00	112,00	0,00	0,00	1,00	9,00	80,00	0,00	0,00	0,00	2,00	97,00	0,00	0,00	0,00	4,00	114,00
