	Fixation Count (Include Zeros)_Barracuda_Bot_Sum	Fixation Count (Include Zeros)_Barracuda_MidBot_Sum	Fixation Count (Include Zeros)_Barracuda_MidTop_Sum	Fixation Count (Include Zeros)_Barracuda_TopBot_Sum	Fixation Count (Include Zeros)_Barracuda_TopTop_Sum	Fixation Count (Include Zeros)_Cliffs Of Dover_Bot 2_Sum	Fixation Count (Include Zeros)_Cliffs Of Dover_MidBot_Sum	Fixation Count (Include Zeros)_Cliffs Of Dover_MidTop_Sum	Fixation Count (Include Zeros)_Cliffs Of Dover_TopBot_Sum	Fixation Count (Include Zeros)_Cliffs Of Dover_TopTop_Sum	Fixation Count (Include Zeros)_Cult Of Personality_Bot 2_Sum	Fixation Count (Include Zeros)_Cult Of Personality_MidBot_Sum	Fixation Count (Include Zeros)_Cult Of Personality_MidTop_Sum	Fixation Count (Include Zeros)_Cult Of Personality_TopBot_Sum	Fixation Count (Include Zeros)_Cult Of Personality_TopTop_Sum	Fixation Count (Include Zeros)_My Name Is Jonas_Bot 2_Sum	Fixation Count (Include Zeros)_My Name Is Jonas_MidBot_Sum	Fixation Count (Include Zeros)_My Name Is Jonas_MidTop_Sum	Fixation Count (Include Zeros)_My Name Is Jonas_TopBot_Sum	Fixation Count (Include Zeros)_My Name Is Jonas_TopTop_Sum	Fixation Count (Include Zeros)_Paint It Black_Bot 4_Sum	Fixation Count (Include Zeros)_Paint It Black_MidBot_Sum	Fixation Count (Include Zeros)_Paint It Black_MidTop_Sum	Fixation Count (Include Zeros)_Paint It Black_TopBot_Sum	Fixation Count (Include Zeros)_Paint It Black_TopTop_Sum	Fixation Count (Include Zeros)_Rock and Roll All Nite_Bot_Sum	Fixation Count (Include Zeros)_Rock and Roll All Nite_MidBot_Sum	Fixation Count (Include Zeros)_Rock and Roll All Nite_MidTop_Sum	Fixation Count (Include Zeros)_Rock and Roll All Nite_TopBot_Sum	Fixation Count (Include Zeros)_Rock and Roll All Nite_TopTop_Sum	Fixation Count (Include Zeros)_Rock You Like A Hurricane_Bot 2_Sum	Fixation Count (Include Zeros)_Rock You Like A Hurricane_MidBot_Sum	Fixation Count (Include Zeros)_Rock You Like A Hurricane_MidTop_Sum	Fixation Count (Include Zeros)_Rock You Like A Hurricane_TopBot_Sum	Fixation Count (Include Zeros)_Rock You Like A Hurricane_TopTop_Sum	Fixation Count (Include Zeros)_The Metal_Bot 2_Sum	Fixation Count (Include Zeros)_The Metal_MidBot_Sum	Fixation Count (Include Zeros)_The Metal_MidTop_Sum	Fixation Count (Include Zeros)_The Metal_TopBot_Sum	Fixation Count (Include Zeros)_The Metal_TopTop_Sum
Rec 01-Notestreaks	0,00	0,00	5,00	18,00	50,00	0,00	0,00	0,00	0,00	0,00	2,00	6,00	21,00	35,00	18,00	0,00	0,00	4,00	31,00	93,00	0,00	1,00	4,00	10,00	19,00	0,00	0,00	3,00	22,00	32,00	0,00	0,00	2,00	10,00	22,00	0,00	1,00	8,00	57,00	69,00
Rec 02-Notestreaks	0,00	4,00	6,00	6,00	4,00	0,00	0,00	10,00	11,00	1,00	0,00	4,00	3,00	6,00	7,00	0,00	0,00	3,00	15,00	31,00	0,00	1,00	5,00	8,00	13,00	0,00	3,00	15,00	17,00	15,00	0,00	1,00	5,00	3,00	7,00	0,00	1,00	7,00	24,00	12,00
Rec 03-Notestreaks	1,00	5,00	15,00	55,00	68,00	0,00	0,00	4,00	9,00	1,00	0,00	1,00	14,00	47,00	17,00	0,00	0,00	0,00	25,00	44,00	0,00	0,00	7,00	39,00	11,00	0,00	1,00	8,00	49,00	24,00	0,00	2,00	15,00	52,00	22,00	0,00	0,00	1,00	61,00	31,00
Rec 04-Notestreaks	0,00	1,00	1,00	9,00	27,00	0,00	0,00	3,00	16,00	21,00	0,00	2,00	0,00	14,00	25,00	0,00	1,00	1,00	5,00	71,00	1,00	0,00	2,00	12,00	57,00	2,00	0,00	5,00	16,00	46,00	0,00	3,00	0,00	8,00	16,00	0,00	0,00	1,00	6,00	55,00
Rec 05-Notestreaks	23,00	39,00	26,00	10,00	7,00	4,00	5,00	10,00	4,00	2,00	4,00	12,00	11,00	9,00	3,00	0,00	10,00	46,00	80,00	6,00	5,00	22,00	31,00	58,00	11,00	1,00	9,00	18,00	15,00	11,00	8,00	9,00	2,00	4,00	1,00	0,00	9,00	30,00	31,00	1,00
Rec 06-Notestreaks	1,00	3,00	3,00	26,00	39,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	2,00	5,00	2,00	0,00	0,00	0,00	10,00	17,00	0,00	0,00	7,00	22,00	27,00	0,00	0,00	2,00	8,00	7,00	0,00	1,00	7,00	5,00	4,00	0,00	0,00	2,00	5,00	8,00
Rec 07-Notestreaks	0,00	2,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	1,00	0,00	1,00	6,00	11,00	9,00	2,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Rec 08-Notestreaks	0,00	2,00	7,00	36,00	108,00	0,00	0,00	1,00	18,00	17,00	0,00	0,00	0,00	31,00	36,00	0,00	0,00	1,00	21,00	35,00	0,00	0,00	4,00	43,00	65,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	4,00	25,00	23,00	0,00	0,00	0,00	40,00	20,00
Rec 09-Notestreaks	3,00	13,00	28,00	45,00	47,00	0,00	0,00	1,00	2,00	10,00	0,00	1,00	3,00	8,00	7,00	0,00	0,00	1,00	19,00	25,00	0,00	2,00	13,00	16,00	33,00	0,00	1,00	7,00	29,00	38,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Rec 10-Notestreaks	2,00	2,00	1,00	7,00	8,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	3,00	9,00	9,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	6,00	10,00	6,00	0,00
Rec 11-Notestreaks	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	1,00	5,00	4,00	1,00	2,00	4,00	13,00	14,00	0,00	0,00	0,00	0,00	0,00	4,00	4,00	13,00	8,00	3,00	0,00	0,00	0,00	0,00	0,00
Rec 12-Notestreaks	3,00	8,00	24,00	40,00	42,00	0,00	0,00	0,00	0,00	0,00	2,00	6,00	24,00	25,00	18,00	1,00	3,00	36,00	79,00	11,00	0,00	2,00	6,00	26,00	29,00	0,00	2,00	9,00	17,00	13,00	1,00	1,00	18,00	22,00	2,00	0,00	5,00	39,00	58,00	21,00
Rec 13-Notestreaks	0,00	6,00	12,00	12,00	11,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	11,00	15,00	0,00	0,00	0,00	26,00	102,00	0,00	0,00	1,00	10,00	27,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	3,00	15,00	3,00	0,00	0,00	4,00	24,00	11,00
Rec 14-Notestreaks	2,00	2,00	3,00	21,00	32,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	5,00	13,00	9,00	0,00	0,00	1,00	4,00	16,00	0,00	1,00	1,00	7,00	10,00	0,00	5,00	4,00	14,00	6,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
