	Total Visit Duration (Include Zeros)_Barracuda_Bot_Sum	Total Visit Duration (Include Zeros)_Barracuda_MidBot_Sum	Total Visit Duration (Include Zeros)_Barracuda_MidTop_Sum	Total Visit Duration (Include Zeros)_Barracuda_TopBot_Sum	Total Visit Duration (Include Zeros)_Barracuda_TopTop_Sum	Total Visit Duration (Include Zeros)_Cliffs Of Dover_Bot 2_Sum	Total Visit Duration (Include Zeros)_Cliffs Of Dover_MidBot_Sum	Total Visit Duration (Include Zeros)_Cliffs Of Dover_MidTop_Sum	Total Visit Duration (Include Zeros)_Cliffs Of Dover_TopBot_Sum	Total Visit Duration (Include Zeros)_Cliffs Of Dover_TopTop_Sum	Total Visit Duration (Include Zeros)_Cult Of Personality_Bot 2_Sum	Total Visit Duration (Include Zeros)_Cult Of Personality_MidBot_Sum	Total Visit Duration (Include Zeros)_Cult Of Personality_MidTop_Sum	Total Visit Duration (Include Zeros)_Cult Of Personality_TopBot_Sum	Total Visit Duration (Include Zeros)_Cult Of Personality_TopTop_Sum	Total Visit Duration (Include Zeros)_My Name Is Jonas_Bot 2_Sum	Total Visit Duration (Include Zeros)_My Name Is Jonas_MidBot_Sum	Total Visit Duration (Include Zeros)_My Name Is Jonas_MidTop_Sum	Total Visit Duration (Include Zeros)_My Name Is Jonas_TopBot_Sum	Total Visit Duration (Include Zeros)_My Name Is Jonas_TopTop_Sum	Total Visit Duration (Include Zeros)_Paint It Black_Bot 4_Sum	Total Visit Duration (Include Zeros)_Paint It Black_MidBot_Sum	Total Visit Duration (Include Zeros)_Paint It Black_MidTop_Sum	Total Visit Duration (Include Zeros)_Paint It Black_TopBot_Sum	Total Visit Duration (Include Zeros)_Paint It Black_TopTop_Sum	Total Visit Duration (Include Zeros)_Rock and Roll All Nite_Bot_Sum	Total Visit Duration (Include Zeros)_Rock and Roll All Nite_MidBot_Sum	Total Visit Duration (Include Zeros)_Rock and Roll All Nite_MidTop_Sum	Total Visit Duration (Include Zeros)_Rock and Roll All Nite_TopBot_Sum	Total Visit Duration (Include Zeros)_Rock and Roll All Nite_TopTop_Sum	Total Visit Duration (Include Zeros)_Rock You Like A Hurricane_Bot 2_Sum	Total Visit Duration (Include Zeros)_Rock You Like A Hurricane_MidBot_Sum	Total Visit Duration (Include Zeros)_Rock You Like A Hurricane_MidTop_Sum	Total Visit Duration (Include Zeros)_Rock You Like A Hurricane_TopBot_Sum	Total Visit Duration (Include Zeros)_Rock You Like A Hurricane_TopTop_Sum	Total Visit Duration (Include Zeros)_The Metal_Bot 2_Sum	Total Visit Duration (Include Zeros)_The Metal_MidBot_Sum	Total Visit Duration (Include Zeros)_The Metal_MidTop_Sum	Total Visit Duration (Include Zeros)_The Metal_TopBot_Sum	Total Visit Duration (Include Zeros)_The Metal_TopTop_Sum
Rec 01-Songs	0,36	0,11	3,43	12,60	27,80	0,47	0,00	4,39	15,99	4,95	0,82	3,81	10,46	20,41	12,80	0,58	0,82	0,90	10,26	41,39	0,82	0,30	2,59	15,05	26,94	0,50	1,13	4,22	14,22	23,19	0,80	2,14	5,51	15,28	22,49	0,65	0,52	2,03	19,08	24,09
Rec 02-Songs	2,07	3,12	14,34	18,54	11,65	0,00	0,53	9,17	8,43	3,98	0,00	4,58	11,00	13,82	12,80	0,31	0,09	8,32	20,92	24,42	0,25	0,71	9,94	9,16	17,97	0,24	2,24	8,59	12,13	12,79	0,33	2,00	16,19	12,80	8,74	0,09	1,23	13,58	16,58	9,37
Rec 03-Songs	0,92	1,08	7,14	26,12	27,72	0,02	1,79	8,49	13,70	2,77	3,80	2,11	12,56	28,59	8,16	0,39	0,00	0,87	31,08	28,30	0,72	0,42	7,40	32,27	11,97	1,19	1,22	6,29	25,26	13,09	0,23	0,91	7,33	30,37	9,98	0,27	1,53	6,37	26,27	11,93
Rec 04-Songs	0,08	1,75	3,15	12,87	23,13	0,32	0,24	2,17	8,56	11,71	0,81	1,10	2,12	12,69	21,98	0,00	0,36	0,21	1,90	48,35	0,33	0,08	0,83	2,73	20,76	0,21	0,00	2,39	6,85	24,21	0,31	1,10	2,44	9,33	22,67	0,00	0,14	1,26	8,17	32,09
Rec 05-Songs	8,07	12,86	10,89	11,69	9,91	2,68	2,97	3,04	2,29	2,28	1,82	6,25	14,39	14,00	9,11	0,35	2,15	12,40	33,71	9,08	1,61	5,16	9,57	18,47	8,40	2,14	4,00	9,53	9,01	9,94	7,52	9,72	12,28	3,39	7,18	4,45	4,58	10,09	14,53	3,65
Rec 06-Songs	0,10	1,69	0,84	10,94	19,75	0,00	1,53	5,52	7,16	3,83	0,00	8,44	11,33	12,83	5,20	0,00	1,11	4,37	20,99	22,77	0,00	2,08	3,97	9,60	22,75	0,00	2,85	3,98	9,30	10,03	0,08	2,12	5,11	19,31	15,50	0,00	1,28	5,20	16,86	14,87
Rec 07-Songs	0,00	2,27	0,88	0,62	0,00	2,16	5,42	6,73	3,81	1,68	5,86	7,86	5,75	5,65	5,12	11,05	1,94	7,01	1,08	0,00	1,58	4,48	13,78	13,54	6,69	4,78	3,05	15,69	3,34	3,22	2,08	6,76	5,19	6,25	2,16	1,65	5,59	26,71	5,84	0,24
Rec 08-Songs	0,00	0,47	1,34	13,64	41,92	0,49	0,87	3,97	10,80	7,42	0,17	0,21	1,85	22,86	29,06	0,88	0,43	1,02	24,65	25,90	0,00	0,31	0,74	14,16	32,43	0,09	0,78	3,50	17,68	20,18	0,00	0,74	1,69	23,60	20,66	0,00	0,27	2,20	30,38	10,84
Rec 09-Songs	0,42	2,85	7,40	13,44	14,20	0,00	0,60	0,79	1,72	6,54	0,28	2,02	3,88	8,50	11,31	0,19	0,87	3,68	14,73	18,07	0,39	0,47	3,38	5,93	14,55	0,18	1,40	3,49	6,57	9,61	0,90	3,20	6,16	10,52	6,76	0,36	1,44	1,91	6,66	17,97
Rec 10-Songs	0,66	5,22	3,51	12,56	14,42	1,41	2,23	6,05	2,79	0,81	0,99	3,84	13,29	9,15	9,52	2,99	10,62	14,58	5,81	4,84	0,05	2,49	12,88	10,12	6,25	0,31	2,52	9,87	8,71	4,93	0,37	5,13	21,62	5,86	6,05	0,14	3,56	18,11	8,78	0,82
