	Total Visit Duration (Include Zeros)_Barracuda_Bot_Sum	Total Visit Duration (Include Zeros)_Barracuda_MidBot_Sum	Total Visit Duration (Include Zeros)_Barracuda_MidTop_Sum	Total Visit Duration (Include Zeros)_Barracuda_TopBot_Sum	Total Visit Duration (Include Zeros)_Barracuda_TopTop_Sum	Total Visit Duration (Include Zeros)_Cliffs Of Dover_Bot 2_Sum	Total Visit Duration (Include Zeros)_Cliffs Of Dover_MidBot_Sum	Total Visit Duration (Include Zeros)_Cliffs Of Dover_MidTop_Sum	Total Visit Duration (Include Zeros)_Cliffs Of Dover_TopBot_Sum	Total Visit Duration (Include Zeros)_Cliffs Of Dover_TopTop_Sum	Total Visit Duration (Include Zeros)_Cult Of Personality_Bot 2_Sum	Total Visit Duration (Include Zeros)_Cult Of Personality_MidBot_Sum	Total Visit Duration (Include Zeros)_Cult Of Personality_MidTop_Sum	Total Visit Duration (Include Zeros)_Cult Of Personality_TopBot_Sum	Total Visit Duration (Include Zeros)_Cult Of Personality_TopTop_Sum	Total Visit Duration (Include Zeros)_My Name Is Jonas_Bot 2_Sum	Total Visit Duration (Include Zeros)_My Name Is Jonas_MidBot_Sum	Total Visit Duration (Include Zeros)_My Name Is Jonas_MidTop_Sum	Total Visit Duration (Include Zeros)_My Name Is Jonas_TopBot_Sum	Total Visit Duration (Include Zeros)_My Name Is Jonas_TopTop_Sum	Total Visit Duration (Include Zeros)_Paint It Black_Bot 4_Sum	Total Visit Duration (Include Zeros)_Paint It Black_MidBot_Sum	Total Visit Duration (Include Zeros)_Paint It Black_MidTop_Sum	Total Visit Duration (Include Zeros)_Paint It Black_TopBot_Sum	Total Visit Duration (Include Zeros)_Paint It Black_TopTop_Sum	Total Visit Duration (Include Zeros)_Rock and Roll All Nite_Bot_Sum	Total Visit Duration (Include Zeros)_Rock and Roll All Nite_MidBot_Sum	Total Visit Duration (Include Zeros)_Rock and Roll All Nite_MidTop_Sum	Total Visit Duration (Include Zeros)_Rock and Roll All Nite_TopBot_Sum	Total Visit Duration (Include Zeros)_Rock and Roll All Nite_TopTop_Sum	Total Visit Duration (Include Zeros)_Rock You Like A Hurricane_Bot 2_Sum	Total Visit Duration (Include Zeros)_Rock You Like A Hurricane_MidBot_Sum	Total Visit Duration (Include Zeros)_Rock You Like A Hurricane_MidTop_Sum	Total Visit Duration (Include Zeros)_Rock You Like A Hurricane_TopBot_Sum	Total Visit Duration (Include Zeros)_Rock You Like A Hurricane_TopTop_Sum	Total Visit Duration (Include Zeros)_The Metal_Bot 2_Sum	Total Visit Duration (Include Zeros)_The Metal_MidBot_Sum	Total Visit Duration (Include Zeros)_The Metal_MidTop_Sum	Total Visit Duration (Include Zeros)_The Metal_TopBot_Sum	Total Visit Duration (Include Zeros)_The Metal_TopTop_Sum
Rec 01-Notestreaks	0,00	0,00	1,43	6,02	20,28	0,00	0,00	0,00	0,00	0,00	0,32	1,05	5,44	10,82	3,89	0,00	0,00	0,71	8,38	36,41	0,00	0,07	1,09	3,07	6,84	0,00	0,00	0,62	6,94	14,09	0,00	0,00	0,36	3,16	7,78	0,00	0,35	1,83	16,32	21,85
Rec 02-Notestreaks	0,00	1,41	2,89	2,05	0,83	0,00	0,00	2,92	2,87	0,19	0,00	0,61	0,40	1,04	1,85	0,00	0,00	1,38	4,66	8,98	0,00	0,09	0,62	1,14	2,54	0,00	0,57	3,54	3,95	5,09	0,00	0,15	2,18	0,77	2,25	0,00	0,18	2,05	6,40	2,93
Rec 03-Notestreaks	0,33	0,97	4,76	23,45	24,99	0,00	0,00	1,08	3,08	0,19	0,00	0,41	6,07	15,74	3,42	0,00	0,00	0,00	11,28	21,27	0,00	0,00	2,56	13,86	2,99	0,00	0,57	3,11	19,96	6,22	0,00	0,52	5,10	18,12	6,55	0,00	0,00	0,14	19,53	8,33
Rec 04-Notestreaks	0,00	0,15	0,22	2,65	9,65	0,00	0,00	0,52	4,30	6,67	0,00	0,60	0,00	2,73	7,25	0,00	0,22	0,21	0,70	29,82	0,16	0,00	0,38	1,98	13,89	0,21	0,00	1,14	4,02	19,36	0,00	0,31	0,00	1,15	6,10	0,00	0,00	0,07	1,46	20,26
Rec 05-Notestreaks	7,53	10,55	7,78	3,34	3,96	0,57	1,02	2,75	1,34	0,71	0,43	2,63	3,18	2,14	0,98	0,00	1,68	11,91	29,86	1,91	0,59	4,68	6,93	15,81	2,78	0,21	1,40	5,12	4,13	5,35	2,59	1,45	0,55	1,19	0,29	0,00	1,75	6,30	7,21	0,15
Rec 06-Notestreaks	0,10	0,96	0,84	10,53	18,04	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,35	0,89	0,38	0,00	0,00	0,00	3,77	6,16	0,00	0,00	0,97	4,78	8,46	0,00	0,00	0,74	2,03	1,93	0,00	0,51	1,52	1,11	1,78	0,00	0,00	0,44	1,23	1,75
Rec 07-Notestreaks	0,00	1,89	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,21	0,00	0,28	0,00	0,10	1,37	2,92	3,51	1,49	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Rec 08-Notestreaks	0,00	0,33	1,34	10,64	39,36	0,00	0,00	0,09	4,20	3,42	0,00	0,00	0,00	9,87	11,91	0,00	0,00	0,08	6,99	12,30	0,00	0,00	0,74	14,16	25,17	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,42	8,06	7,96	0,00	0,00	0,00	13,92	5,40
Rec 09-Notestreaks	0,42	2,67	6,77	13,19	13,16	0,00	0,00	0,11	0,22	3,13	0,00	0,10	0,34	2,58	1,78	0,00	0,00	0,06	4,04	9,74	0,00	0,24	2,71	3,32	7,98	0,00	0,09	1,29	5,46	7,90	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Rec 10-Notestreaks	0,66	0,92	0,09	1,12	1,58	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,05	0,29	2,23	2,60	0,14	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,30	2,13	0,88	0,00
