	Visit Count (Include Zeros)_Barracuda_Bot_Sum	Visit Count (Include Zeros)_Barracuda_MidBot_Sum	Visit Count (Include Zeros)_Barracuda_MidTop_Sum	Visit Count (Include Zeros)_Barracuda_TopBot_Sum	Visit Count (Include Zeros)_Barracuda_TopTop_Sum	Visit Count (Include Zeros)_Cliffs Of Dover_Bot 2_Sum	Visit Count (Include Zeros)_Cliffs Of Dover_MidBot_Sum	Visit Count (Include Zeros)_Cliffs Of Dover_MidTop_Sum	Visit Count (Include Zeros)_Cliffs Of Dover_TopBot_Sum	Visit Count (Include Zeros)_Cliffs Of Dover_TopTop_Sum	Visit Count (Include Zeros)_Cult Of Personality_Bot 2_Sum	Visit Count (Include Zeros)_Cult Of Personality_MidBot_Sum	Visit Count (Include Zeros)_Cult Of Personality_MidTop_Sum	Visit Count (Include Zeros)_Cult Of Personality_TopBot_Sum	Visit Count (Include Zeros)_Cult Of Personality_TopTop_Sum	Visit Count (Include Zeros)_My Name Is Jonas_Bot 2_Sum	Visit Count (Include Zeros)_My Name Is Jonas_MidBot_Sum	Visit Count (Include Zeros)_My Name Is Jonas_MidTop_Sum	Visit Count (Include Zeros)_My Name Is Jonas_TopBot_Sum	Visit Count (Include Zeros)_My Name Is Jonas_TopTop_Sum	Visit Count (Include Zeros)_Paint It Black_Bot 4_Sum	Visit Count (Include Zeros)_Paint It Black_MidBot_Sum	Visit Count (Include Zeros)_Paint It Black_MidTop_Sum	Visit Count (Include Zeros)_Paint It Black_TopBot_Sum	Visit Count (Include Zeros)_Paint It Black_TopTop_Sum	Visit Count (Include Zeros)_Rock and Roll All Nite_Bot_Sum	Visit Count (Include Zeros)_Rock and Roll All Nite_MidBot_Sum	Visit Count (Include Zeros)_Rock and Roll All Nite_MidTop_Sum	Visit Count (Include Zeros)_Rock and Roll All Nite_TopBot_Sum	Visit Count (Include Zeros)_Rock and Roll All Nite_TopTop_Sum	Visit Count (Include Zeros)_Rock You Like A Hurricane_Bot 2_Sum	Visit Count (Include Zeros)_Rock You Like A Hurricane_MidBot_Sum	Visit Count (Include Zeros)_Rock You Like A Hurricane_MidTop_Sum	Visit Count (Include Zeros)_Rock You Like A Hurricane_TopBot_Sum	Visit Count (Include Zeros)_Rock You Like A Hurricane_TopTop_Sum	Visit Count (Include Zeros)_The Metal_Bot 2_Sum	Visit Count (Include Zeros)_The Metal_MidBot_Sum	Visit Count (Include Zeros)_The Metal_MidTop_Sum	Visit Count (Include Zeros)_The Metal_TopBot_Sum	Visit Count (Include Zeros)_The Metal_TopTop_Sum
Rec 01-Songs	1,00	1,00	12,00	26,00	39,00	1,00	0,00	14,00	20,00	11,00	3,00	15,00	29,00	38,00	27,00	1,00	1,00	5,00	25,00	29,00	1,00	3,00	10,00	30,00	32,00	3,00	4,00	12,00	26,00	22,00	1,00	7,00	18,00	31,00	26,00	1,00	2,00	8,00	29,00	23,00
Rec 02-Songs	4,00	9,00	29,00	35,00	27,00	0,00	3,00	18,00	20,00	12,00	0,00	17,00	29,00	46,00	40,00	1,00	1,00	21,00	44,00	41,00	1,00	5,00	28,00	37,00	40,00	1,00	5,00	21,00	32,00	34,00	2,00	8,00	40,00	39,00	27,00	1,00	5,00	19,00	34,00	26,00
Rec 03-Songs	4,00	6,00	18,00	36,00	32,00	1,00	6,00	18,00	18,00	8,00	7,00	6,00	27,00	36,00	23,00	1,00	0,00	2,00	29,00	26,00	3,00	3,00	11,00	21,00	14,00	2,00	4,00	14,00	24,00	19,00	1,00	3,00	18,00	29,00	22,00	1,00	4,00	12,00	31,00	27,00
Rec 04-Songs	1,00	6,00	10,00	24,00	39,00	2,00	2,00	10,00	20,00	19,00	3,00	4,00	9,00	42,00	44,00	0,00	2,00	1,00	10,00	30,00	2,00	1,00	4,00	14,00	45,00	2,00	0,00	9,00	19,00	24,00	2,00	8,00	7,00	30,00	39,00	0,00	1,00	4,00	20,00	26,00
Rec 05-Songs	16,00	22,00	21,00	13,00	9,00	8,00	8,00	6,00	5,00	4,00	11,00	21,00	29,00	19,00	11,00	1,00	9,00	20,00	21,00	9,00	4,00	14,00	25,00	24,00	13,00	4,00	16,00	22,00	16,00	9,00	12,00	20,00	16,00	11,00	7,00	4,00	12,00	31,00	31,00	9,00
Rec 06-Songs	1,00	3,00	3,00	17,00	30,00	0,00	3,00	14,00	16,00	10,00	0,00	9,00	37,00	38,00	18,00	0,00	2,00	10,00	30,00	35,00	0,00	5,00	15,00	32,00	26,00	0,00	4,00	10,00	18,00	22,00	1,00	3,00	13,00	27,00	27,00	0,00	2,00	16,00	31,00	36,00
Rec 07-Songs	0,00	3,00	4,00	4,00	0,00	5,00	13,00	13,00	8,00	3,00	16,00	17,00	17,00	15,00	4,00	5,00	9,00	8,00	2,00	0,00	12,00	11,00	29,00	24,00	6,00	12,00	10,00	20,00	12,00	6,00	7,00	14,00	11,00	9,00	5,00	6,00	14,00	23,00	11,00	1,00
Rec 08-Songs	0,00	3,00	6,00	31,00	41,00	2,00	3,00	15,00	27,00	21,00	1,00	2,00	7,00	36,00	39,00	3,00	1,00	7,00	49,00	48,00	0,00	1,00	4,00	20,00	19,00	1,00	6,00	16,00	28,00	28,00	0,00	2,00	7,00	27,00	24,00	0,00	2,00	8,00	36,00	34,00
Rec 09-Songs	3,00	14,00	24,00	28,00	35,00	0,00	3,00	6,00	10,00	15,00	3,00	11,00	23,00	29,00	21,00	2,00	6,00	16,00	36,00	30,00	2,00	4,00	13,00	23,00	35,00	2,00	5,00	11,00	25,00	30,00	3,00	21,00	23,00	26,00	25,00	2,00	4,00	9,00	31,00	31,00
Rec 10-Songs	1,00	14,00	16,00	36,00	30,00	1,00	9,00	14,00	11,00	4,00	1,00	21,00	32,00	34,00	25,00	8,00	30,00	37,00	22,00	5,00	1,00	14,00	30,00	25,00	13,00	2,00	14,00	34,00	27,00	12,00	1,00	21,00	29,00	19,00	10,00	1,00	20,00	32,00	25,00	8,00
