	Visit Count (Include Zeros)_Barracuda_Bot_Sum	Visit Count (Include Zeros)_Barracuda_MidBot_Sum	Visit Count (Include Zeros)_Barracuda_MidTop_Sum	Visit Count (Include Zeros)_Barracuda_TopBot_Sum	Visit Count (Include Zeros)_Barracuda_TopTop_Sum	Visit Count (Include Zeros)_Cliffs Of Dover_Bot 2_Sum	Visit Count (Include Zeros)_Cliffs Of Dover_MidBot_Sum	Visit Count (Include Zeros)_Cliffs Of Dover_MidTop_Sum	Visit Count (Include Zeros)_Cliffs Of Dover_TopBot_Sum	Visit Count (Include Zeros)_Cliffs Of Dover_TopTop_Sum	Visit Count (Include Zeros)_Cult Of Personality_Bot 2_Sum	Visit Count (Include Zeros)_Cult Of Personality_MidBot_Sum	Visit Count (Include Zeros)_Cult Of Personality_MidTop_Sum	Visit Count (Include Zeros)_Cult Of Personality_TopBot_Sum	Visit Count (Include Zeros)_Cult Of Personality_TopTop_Sum	Visit Count (Include Zeros)_My Name Is Jonas_Bot 2_Sum	Visit Count (Include Zeros)_My Name Is Jonas_MidBot_Sum	Visit Count (Include Zeros)_My Name Is Jonas_MidTop_Sum	Visit Count (Include Zeros)_My Name Is Jonas_TopBot_Sum	Visit Count (Include Zeros)_My Name Is Jonas_TopTop_Sum	Visit Count (Include Zeros)_Paint It Black_Bot 4_Sum	Visit Count (Include Zeros)_Paint It Black_MidBot_Sum	Visit Count (Include Zeros)_Paint It Black_MidTop_Sum	Visit Count (Include Zeros)_Paint It Black_TopBot_Sum	Visit Count (Include Zeros)_Paint It Black_TopTop_Sum	Visit Count (Include Zeros)_Rock and Roll All Nite_Bot_Sum	Visit Count (Include Zeros)_Rock and Roll All Nite_MidBot_Sum	Visit Count (Include Zeros)_Rock and Roll All Nite_MidTop_Sum	Visit Count (Include Zeros)_Rock and Roll All Nite_TopBot_Sum	Visit Count (Include Zeros)_Rock and Roll All Nite_TopTop_Sum	Visit Count (Include Zeros)_Rock You Like A Hurricane_Bot 2_Sum	Visit Count (Include Zeros)_Rock You Like A Hurricane_MidBot_Sum	Visit Count (Include Zeros)_Rock You Like A Hurricane_MidTop_Sum	Visit Count (Include Zeros)_Rock You Like A Hurricane_TopBot_Sum	Visit Count (Include Zeros)_Rock You Like A Hurricane_TopTop_Sum	Visit Count (Include Zeros)_The Metal_Bot 2_Sum	Visit Count (Include Zeros)_The Metal_MidBot_Sum	Visit Count (Include Zeros)_The Metal_MidTop_Sum	Visit Count (Include Zeros)_The Metal_TopBot_Sum	Visit Count (Include Zeros)_The Metal_TopTop_Sum
Rec 01-Notestreaks	0,00	0,00	5,00	12,00	23,00	0,00	0,00	0,00	0,00	0,00	2,00	6,00	15,00	18,00	12,00	0,00	0,00	4,00	22,00	22,00	0,00	1,00	3,00	7,00	9,00	0,00	0,00	2,00	11,00	10,00	0,00	0,00	2,00	7,00	6,00	0,00	1,00	7,00	26,00	21,00
Rec 02-Notestreaks	0,00	4,00	5,00	4,00	3,00	0,00	0,00	7,00	6,00	1,00	0,00	4,00	2,00	5,00	4,00	0,00	0,00	2,00	9,00	10,00	0,00	1,00	5,00	7,00	7,00	0,00	2,00	12,00	14,00	12,00	0,00	1,00	3,00	2,00	3,00	0,00	1,00	5,00	9,00	8,00
Rec 03-Notestreaks	1,00	5,00	13,00	32,00	28,00	0,00	0,00	2,00	4,00	1,00	0,00	1,00	10,00	18,00	11,00	0,00	0,00	0,00	20,00	19,00	0,00	0,00	7,00	13,00	7,00	0,00	1,00	8,00	17,00	13,00	0,00	2,00	11,00	17,00	14,00	0,00	0,00	1,00	21,00	21,00
Rec 04-Notestreaks	0,00	1,00	1,00	8,00	18,00	0,00	0,00	3,00	10,00	10,00	0,00	1,00	0,00	11,00	12,00	0,00	1,00	1,00	4,00	16,00	1,00	0,00	2,00	10,00	30,00	2,00	0,00	5,00	12,00	14,00	0,00	3,00	0,00	5,00	6,00	0,00	0,00	1,00	5,00	9,00
Rec 05-Notestreaks	13,00	15,00	11,00	5,00	3,00	3,00	4,00	4,00	2,00	1,00	4,00	5,00	8,00	5,00	2,00	0,00	8,00	18,00	18,00	5,00	3,00	11,00	19,00	17,00	6,00	1,00	6,00	11,00	10,00	4,00	2,00	4,00	2,00	2,00	1,00	0,00	4,00	16,00	13,00	1,00
Rec 06-Notestreaks	1,00	2,00	3,00	16,00	26,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	2,00	3,00	1,00	0,00	0,00	0,00	6,00	7,00	0,00	0,00	6,00	16,00	11,00	0,00	0,00	2,00	6,00	5,00	0,00	1,00	5,00	4,00	2,00	0,00	0,00	2,00	3,00	5,00
Rec 07-Notestreaks	0,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	1,00	0,00	1,00	3,00	5,00	4,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Rec 08-Notestreaks	0,00	2,00	6,00	28,00	38,00	0,00	0,00	1,00	11,00	10,00	0,00	0,00	0,00	16,00	16,00	0,00	0,00	1,00	17,00	16,00	0,00	0,00	4,00	20,00	19,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	4,00	12,00	11,00	0,00	0,00	0,00	12,00	12,00
Rec 09-Notestreaks	3,00	12,00	20,00	26,00	32,00	0,00	0,00	1,00	2,00	6,00	0,00	1,00	3,00	4,00	4,00	0,00	0,00	1,00	11,00	11,00	0,00	2,00	9,00	13,00	20,00	0,00	1,00	5,00	18,00	27,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Rec 10-Notestreaks	1,00	2,00	1,00	6,00	4,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	3,00	6,00	6,00	1,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	5,00	4,00	6,00	0,00
Rec 11-Notestreaks	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	1,00	3,00	3,00	1,00	1,00	4,00	7,00	6,00	0,00	0,00	0,00	0,00	0,00	2,00	4,00	8,00	5,00	2,00	0,00	0,00	0,00	0,00	0,00
Rec 12-Notestreaks	3,00	8,00	18,00	27,00	23,00	0,00	0,00	0,00	0,00	0,00	2,00	6,00	14,00	20,00	11,00	1,00	3,00	24,00	30,00	10,00	0,00	2,00	5,00	13,00	12,00	0,00	2,00	8,00	11,00	12,00	1,00	1,00	10,00	12,00	2,00	0,00	5,00	30,00	35,00	17,00
Rec 13-Notestreaks	0,00	6,00	9,00	9,00	9,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	7,00	6,00	0,00	0,00	0,00	22,00	23,00	0,00	0,00	1,00	6,00	8,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	3,00	5,00	3,00	0,00	0,00	4,00	8,00	4,00
Rec 14-Notestreaks	1,00	2,00	3,00	12,00	19,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	4,00	6,00	6,00	0,00	0,00	1,00	4,00	6,00	0,00	1,00	1,00	5,00	3,00	0,00	5,00	4,00	8,00	6,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
