	RnRAN	Barr	PIB	MNIJ	RYLAH	Metal	CoP	CoD	TOTAL
P10	67	152	100	97	113	110	91	53	783
P11	75	157	100	119	124	115	86	73	849
P07	71	162	103	149	137	132	110	82	946
P06	73	174	108	159	146	124	127	66	977
P02	84	162	107	157	138	136	121	83	988
P14	81	171	113	150	134	140	131	92	1012
P13	81	168	111	168	155	136	134	94	1047
P03	87	172	111	167	158	138	140	86	1059
P09	80	174	115	164	146	142	140	101	1062
P05	86	166	116	167	158	143	152	95	1083
P15	83	173	110	165	162	147	154	104	1098
P08	82	174	117	163	161	146	153	103	1099
P12	85	173	117	166	160	146	152	104	1103
P04	86	167	116	165	157	151	152	109	1103
P01	85	173	113	168	161	153	146	109	1108
P16	87	172	111	163	164	150	158	119 1124
